timestamp,vehicle_id,x,y,vType,speed,angle,acceleration,lane_id,edge_id
0.05,lead_truck_01,198.33408624358995,27.414354418558563,vehicle.mitsubishi.fusorosa,28.0,79.29116077380004,0.0,-2_1,-2
0.05,lead_truck_02,148.50324848831644,22.056186916613605,vehicle.mitsubishi.fusorosa,28.0,79.32638769036171,0.0,-2_2,-2
0.05,routeFlow_0.0,129.5545411613534,14.435408569644132,vehicle.audi.a2,18.0,79.31713340363787,0.0,-2_1,-2
0.05,routeFlow_1.0,128.84752521660224,18.35157431653248,vehicle.jeep.wrangler_rubicon,18.0,79.3178804601713,0.0,-2_2,-2
0.05,routeFlow_2.0,128.14086231371766,22.184098882076707,vehicle.audi.a2,18.0,79.31785166500691,0.0,-2_3,-2
0.05,subject_car_01,149.20532200389528,18.146527372073216,vehicle.jeep.wrangler_rubicon,28.0,79.30544688290887,0.0,-2_1,-2
0.1,lead_truck_01,199.7120174186778,27.67493739149781,vehicle.mitsubishi.fusorosa,28.05,79.29116077380004,1.0000000000000142,-2_1,-2
0.1,lead_truck_02,149.8816060827454,22.31597287519429,vehicle.mitsubishi.fusorosa,28.05,79.32638769036167,1.0000000000000142,-2_2,-2
0.1,routeFlow_0.0,130.44476676141687,14.603530792840832,vehicle.audi.a2,18.1209206330611,79.31417710095837,2.418412661222007,-2_1,-2
0.1,routeFlow_1.0,129.73795851514816,18.519398739563105,vehicle.jeep.wrangler_rubicon,18.120590857672504,79.31947643547441,2.411817153450073,-2_2,-2
0.1,routeFlow_2.0,129.03135703356813,22.35198833244342,vehicle.audi.a2,18.118777616703234,79.31918827597796,2.375552334064679,-2_3,-2
0.1,subject_car_01,150.58436631732803,18.406964721711947,vehicle.jeep.wrangler_rubicon,28.071033400306476,79.30544688290887,1.4206680061295174,-2_1,-2
0.15,lead_truck_01,201.09240479906882,27.935984861715024,vehicle.mitsubishi.fusorosa,28.1,79.29116077380009,1.0000000000000142,-2_1,-2
0.15,lead_truck_02,151.26242064258332,22.576221910349993,vehicle.mitsubishi.fusorosa,28.1,79.32638769036167,1.0000000000000142,-2_2,-2
0.15,routeFlow_0.0,131.34094378908298,14.772776963989243,vehicle.audi.a2,18.242064472593267,79.31120104062789,2.422876790643329,-2_1,-2
0.15,routeFlow_1.0,130.63816451780554,18.68906507307892,vehicle.jeep.wrangler_rubicon,18.319468385125507,79.32108992448474,3.9775505490600693,-2_2,-2
0.15,routeFlow_2.0,129.9276746939238,22.52097561108372,vehicle.audi.a2,18.23725621263013,79.32053362426696,2.3695719185379005,-2_3,-2
0.15,subject_car_01,151.96775919605622,18.668223313140555,vehicle.jeep.wrangler_rubicon,28.159550296002998,79.3054468829088,1.7703379139304332,-2_1,-2
0.2,lead_truck_01,202.47524838476303,28.197496829210206,vehicle.mitsubishi.fusorosa,28.150000000000002,79.29116077380009,1.0000000000000142,-2_1,-2
0.2,lead_truck_02,152.64569216783022,22.8369340220807,vehicle.mitsubishi.fusorosa,28.150000000000002,79.32638769036171,1.0000000000000142,-2_2,-2
0.2,routeFlow_0.0,132.2430815671754,14.943148843737271,vehicle.audi.a2,18.36339808216447,79.30820519182575,2.4266721914240463,-2_1,-2
0.2,routeFlow_1.0,131.5418409013763,18.859385486665,vehicle.jeep.wrangler_rubicon,18.39009170161094,79.32270963114247,1.4124663297086926,-2_2,-2
0.2,routeFlow_2.0,130.82980034494867,22.69105789942981,vehicle.audi.a2,18.35543062623444,79.32188768737872,2.3634882720862294,-2_3,-2
0.2,subject_car_01,153.3564309867531,18.93047884558745,vehicle.jeep.wrangler_rubicon,28.267004793835802,79.3054468829088,2.1490899566560984,-2_1,-2
0.25,lead_truck_01,203.8605481757604,28.459473293983347,vehicle.mitsubishi.fusorosa,28.200000000000003,79.29116077380016,1.0000000000000142,-2_1,-2
0.25,lead_truck_02,154.03142065848604,23.098109210386415,vehicle.mitsubishi.fusorosa,28.200000000000003,79.32638769036167,1.0000000000000142,-2_2,-2
0.25,routeFlow_0.0,133.1511879876122,15.114647922501284,vehicle.audi.a2,18.48489233508337,79.30544688290881,2.429885058378005,-2_1,-2
0.25,routeFlow_1.0,132.45282583217778,19.031083378748562,vehicle.jeep.wrangler_rubicon,18.538822880405927,79.32434243474711,2.974623575899713,-2_2,-2
0.25,routeFlow_2.0,131.7377187822035,22.862232330912253,vehicle.audi.a2,18.473295677134043,79.32306658746063,2.3573010179920573,-2_3,-2
0.25,subject_car_01,154.7530979855556,19.194244301093782,vehicle.jeep.wrangler_rubicon,28.42975065456703,79.3054468829088,3.2549172146245553,-2_1,-2
0.3,lead_truck_01,205.248304172061,28.721914256034466,vehicle.mitsubishi.fusorosa,28.250000000000004,79.29116077380009,1.0000000000000142,-2_1,-2
0.3,lead_truck_02,155.41960611455085,23.359747475267145,vehicle.mitsubishi.fusorosa,28.250000000000004,79.32638769036167,1.0000000000000142,-2_2,-2
0.3,routeFlow_0.0,134.06526972938792,15.287275461632815,vehicle.audi.a2,18.606522541778283,79.30544688290888,2.4326041338982662,-2_1,-2
0.3,routeFlow_1.0,133.36853592076338,19.2036718449831,vehicle.jeep.wrangler_rubicon,18.63498129124287,79.32598370490787,1.9231682167388442,-2_2,-2
0.3,routeFlow_2.0,132.65141454580157,23.034495990800806,vehicle.audi.a2,18.590846167776174,79.32306658746054,2.3510098128426193,-2_3,-2
0.3,subject_car_01,156.15602876584595,19.459192693677277,vehicle.jeep.wrangler_rubicon,28.557252590251153,79.3054468829088,2.5500387136824543,-2_1,-2
