time,veh_id,type_id,vclass,lane_id,route_id,x,y,speed,angle
1.0,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,78.99433749028394,12.913401771089855,28.0,79.31758019472622
1.05,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,80.37432183358582,13.17371400394766,28.078983435753035,79.31758019472622
1.1,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,81.76014592496772,13.435127812971466,28.19780666038161,79.31758019472622
1.15,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,83.14993108122928,13.697288814272001,28.278403716199097,79.31758019472618
1.2,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,84.54524351285669,13.960492448700283,28.390868958428033,79.31758019472623
1.25,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,85.94599088371677,14.22472129850436,28.501455407781755,79.31758019472622
1.3,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,87.35200985004579,14.48994455146518,28.608718249255322,79.31758019472622
1.35,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,88.76185849737954,14.755890213211519,28.686641995287495,79.31758019472616
1.4,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,90.17590736714388,15.022628180526183,28.772105266394785,79.31758019472622
1.45,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,91.5932096151459,15.289979846219019,28.838302795438786,79.31758019472623
1.5,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,93.016060180978,15.558378114367867,28.951196195428484,79.31758019472619
1.55,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,94.44311060605295,15.827568619575413,29.03665207663783,79.31758019472622
1.6,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,95.87623847776744,16.0979055390249,29.16031182999023,79.3175801947262
1.65,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,97.31285970357172,16.36890142450374,29.23139222456025,79.31758019472622
1.7,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,98.75291201992482,16.640544530979135,29.30120572292012,79.31758019472619
1.75,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,100.1977996885611,16.913099750230007,29.399592184566416,79.31758019472622
1.8,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,101.64728976703502,17.186523141346147,29.493238891663484,79.31758019472626
1.85,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,103.10087347423668,17.460718730813507,29.57653326655737,79.31758019472626
1.9,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,104.56042009009602,17.73603912874304,29.697862478906742,79.3175801947262
1.95,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,106.02382033454572,18.012086452791575,29.776273494134646,79.31758019472622
