timestamp,collision_id,vehicle1,vehicle2,collision_type
42.75,collision_0,routeFlow_1.2,routeFlow_2.3,collision
42.75,collision_1,routeFlow_1.3,routeFlow_2.4,collision
47.75,collision_4,routeFlow_2.6,routeFlow_1.5,collision
52.75,collision_6,routeFlow_2.9,routeFlow_1.6,collision
53.65,collision_8,routeFlow_2.11,routeFlow_1.9,collision
54.25,collision_10,routeFlow_2.10,routeFlow_1.7,collision
57.75,collision_12,routeFlow_2.12,routeFlow_1.11,collision
67.75,collision_14,routeFlow_2.17,routeFlow_1.12,collision
68.0,collision_16,routeFlow_2.18,routeFlow_1.13,collision
72.75,collision_18,routeFlow_2.20,routeFlow_1.15,collision
82.75,collision_20,routeFlow_1.20,routeFlow_2.26,collision
98.0,collision_22,routeFlow_2.34,routeFlow_1.25,collision
107.75,collision_24,routeFlow_2.37,routeFlow_1.30,collision
112.75,collision_26,routeFlow_2.42,routeFlow_1.31,collision
117.75,collision_28,routeFlow_2.46,routeFlow_1.35,collision
142.75,collision_30,routeFlow_2.59,routeFlow_1.43,collision
142.75,collision_31,routeFlow_2.60,routeFlow_1.44,collision
152.75,collision_34,routeFlow_2.64,routeFlow_1.48,collision
152.75,collision_35,routeFlow_2.66,routeFlow_1.49,collision
157.75,collision_38,routeFlow_2.68,routeFlow_1.51,collision
162.15,collision_40,routeFlow_1.52,routeFlow_2.69,collision
