timestamp,collision_id,vehicle1,vehicle2,collision_type
37.65,collision_0,routeFlow_1.4,routeFlow_1.2,collision
37.95,collision_1,routeFlow_1.11,routeFlow_1.9,collision
38.1,collision_2,routeFlow_0.8,routeFlow_0.7,collision
39.05,collision_3,routeFlow_3.1,routeFlow_0.6,collision
40.5,collision_4,routeFlow_1.10,routeFlow_1.8,collision
68.4,collision_5,routeFlow_1.36,routeFlow_1.34,collision
68.6,collision_6,routeFlow_1.33,routeFlow_1.30,collision
68.8,collision_7,routeFlow_3.2,routeFlow_0.30,collision
69.0,collision_8,routeFlow_0.32,routeFlow_0.26,collision
97.25,collision_9,routeFlow_1.57,routeFlow_1.56,collision
98.2,collision_10,routeFlow_0.48,routeFlow_0.44,collision
98.4,collision_11,routeFlow_1.51,routeFlow_1.50,collision
98.95,collision_12,routeFlow_1.60,routeFlow_1.58,collision
98.95,collision_13,routeFlow_2.5,routeFlow_2.4,collision
100.95,collision_14,routeFlow_0.46,routeFlow_0.47,collision
101.2,collision_15,routeFlow_1.49,routeFlow_1.46,collision
108.35,collision_16,routeFlow_0.51,routeFlow_0.45,collision
127.2,collision_17,routeFlow_0.66,routeFlow_0.65,collision
127.65,collision_18,routeFlow_1.81,routeFlow_1.83,collision
127.9,collision_19,routeFlow_1.72,routeFlow_1.71,collision
128.25,collision_20,routeFlow_0.61,routeFlow_3.5,collision
128.3,collision_21,routeFlow_1.80,routeFlow_1.79,collision
129.35,collision_22,routeFlow_0.67,routeFlow_0.68,collision
134.15,collision_23,routeFlow_3.7,routeFlow_0.62,collision
157.1,collision_24,routeFlow_0.76,routeFlow_0.72,collision
157.4,collision_25,routeFlow_0.80,routeFlow_2.8,collision
157.45,collision_26,routeFlow_1.101,routeFlow_1.94,collision
158.2,collision_27,routeFlow_1.106,routeFlow_1.103,collision
158.6,collision_28,routeFlow_3.10,routeFlow_0.79,collision
159.0,collision_29,routeFlow_3.9,routeFlow_0.81,collision
159.75,collision_30,routeFlow_1.105,routeFlow_1.108,collision
188.05,collision_31,routeFlow_0.105,routeFlow_0.102,collision
188.05,collision_32,routeFlow_1.135,routeFlow_1.130,collision
188.3,collision_33,routeFlow_3.11,routeFlow_2.12,collision
188.35,collision_34,routeFlow_1.131,routeFlow_1.129,collision
188.4,collision_35,routeFlow_2.11,routeFlow_0.98,collision
195.6,collision_36,routeFlow_1.133,routeFlow_1.123,collision
196.8,collision_37,routeFlow_0.106,routeFlow_0.101,collision
