timestamp,collision_id,vehicle1,vehicle2,collision_type
34.95,collision_0,routeFlow_1.5,routeFlow_1.3,collision
35.15,collision_4,routeFlow_1.3,routeFlow_1.5,collision
35.65,collision_8,routeFlow_1.11,routeFlow_1.9,collision
35.75,collision_10,routeFlow_0.8,routeFlow_0.7,collision
35.85,collision_15,routeFlow_1.9,routeFlow_1.11,collision
36.0,collision_20,routeFlow_0.7,routeFlow_0.8,collision
36.7,collision_26,routeFlow_3.1,routeFlow_0.6,collision
36.95,collision_31,routeFlow_0.6,routeFlow_3.1,collision
38.55,collision_38,routeFlow_1.10,routeFlow_1.8,collision
38.95,collision_46,routeFlow_1.8,routeFlow_1.10,collision
39.85,collision_54,routeFlow_1.13,routeFlow_1.9,collision
40.3,collision_63,routeFlow_1.9,routeFlow_1.13,collision
40.7,collision_71,routeFlow_1.5,routeFlow_1.1,collision
41.45,collision_87,routeFlow_1.1,routeFlow_1.5,collision
41.55,collision_89,routeFlow_0.9,routeFlow_0.7,collision
42.3,collision_116,routeFlow_0.7,routeFlow_0.9,collision
44.65,collision_134,routeFlow_1.11,routeFlow_1.7,collision
64.9,collision_240,routeFlow_1.23,routeFlow_1.21,junction
65.05,collision_243,routeFlow_1.21,routeFlow_1.23,junction
65.1,collision_244,routeFlow_1.21,routeFlow_1.23,collision
65.95,collision_247,routeFlow_0.28,routeFlow_0.25,collision
66.05,collision_250,routeFlow_1.36,routeFlow_1.34,collision
66.15,collision_253,routeFlow_0.25,routeFlow_0.28,collision
66.3,collision_260,routeFlow_1.34,routeFlow_1.36,collision
66.5,collision_265,routeFlow_1.37,routeFlow_1.35,collision
66.5,collision_266,routeFlow_3.2,routeFlow_0.30,collision
66.7,collision_273,routeFlow_0.32,routeFlow_0.26,collision
66.75,collision_276,routeFlow_0.30,routeFlow_3.2,collision
66.75,collision_278,routeFlow_1.35,routeFlow_1.37,collision
66.95,collision_288,routeFlow_0.26,routeFlow_0.32,collision
67.8,collision_297,routeFlow_0.22,routeFlow_0.18,collision
68.1,collision_303,routeFlow_0.18,routeFlow_0.22,collision
71.85,collision_309,routeFlow_1.32,routeFlow_1.34,collision
72.8,collision_328,routeFlow_1.34,routeFlow_1.32,collision
73.2,collision_337,routeFlow_1.36,routeFlow_1.31,collision
74.65,collision_380,routeFlow_1.31,routeFlow_1.36,collision
74.7,collision_381,routeFlow_0.32,routeFlow_0.24,collision
95.1,collision_500,routeFlow_1.57,routeFlow_1.56,collision
95.3,collision_504,routeFlow_1.56,routeFlow_1.57,collision
95.4,collision_506,routeFlow_0.39,routeFlow_0.40,collision
95.6,collision_512,routeFlow_0.40,routeFlow_0.39,collision
95.75,collision_516,routeFlow_1.55,routeFlow_1.53,collision
95.95,collision_520,routeFlow_0.48,routeFlow_0.44,collision
95.95,collision_521,routeFlow_1.53,routeFlow_1.55,collision
96.2,collision_529,routeFlow_0.44,routeFlow_0.48,collision
96.7,collision_533,routeFlow_1.60,routeFlow_1.58,collision
96.95,collision_538,routeFlow_1.58,routeFlow_1.60,collision
98.65,collision_543,routeFlow_1.62,routeFlow_1.56,collision
98.95,collision_549,routeFlow_1.56,routeFlow_1.62,collision
99.15,collision_553,routeFlow_0.39,routeFlow_0.41,collision
99.45,collision_563,routeFlow_0.46,routeFlow_0.47,collision
99.55,collision_566,routeFlow_0.41,routeFlow_0.39,collision
100.05,collision_585,routeFlow_0.47,routeFlow_0.46,collision
100.65,collision_598,routeFlow_1.55,routeFlow_1.52,collision
101.15,collision_609,routeFlow_1.52,routeFlow_1.55,collision
101.25,collision_611,routeFlow_0.48,routeFlow_0.45,collision
101.85,collision_631,routeFlow_0.45,routeFlow_0.48,collision
101.9,collision_633,routeFlow_0.51,routeFlow_0.44,collision
102.6,collision_658,routeFlow_0.44,routeFlow_0.51,collision
125.1,collision_673,routeFlow_0.66,routeFlow_0.65,collision
125.3,collision_677,routeFlow_0.58,routeFlow_3.6,collision
125.3,collision_678,routeFlow_0.65,routeFlow_0.66,collision
125.35,collision_681,routeFlow_1.74,routeFlow_1.73,collision
125.4,collision_685,routeFlow_1.81,routeFlow_1.83,collision
125.5,collision_693,routeFlow_2.6,routeFlow_0.59,collision
125.55,collision_695,routeFlow_1.73,routeFlow_1.74,collision
125.6,collision_699,routeFlow_1.83,routeFlow_1.81,collision
125.6,collision_701,routeFlow_3.6,routeFlow_0.58,collision
125.7,collision_706,routeFlow_0.59,routeFlow_2.6,collision
126.5,collision_717,routeFlow_1.84,routeFlow_1.80,collision
126.7,collision_721,routeFlow_1.80,routeFlow_1.84,collision
127.05,collision_726,routeFlow_0.67,routeFlow_0.68,collision
127.3,collision_731,routeFlow_0.68,routeFlow_0.67,collision
128.75,collision_737,routeFlow_0.66,routeFlow_0.62,collision
128.8,collision_739,routeFlow_3.7,routeFlow_0.65,collision
129.1,collision_750,routeFlow_0.62,routeFlow_0.66,collision
129.1,collision_751,routeFlow_0.65,routeFlow_3.7,collision
155.6,collision_768,routeFlow_1.103,routeFlow_1.99,collision
155.8,collision_772,routeFlow_1.99,routeFlow_1.103,collision
156.3,collision_776,routeFlow_3.10,routeFlow_0.79,collision
156.5,collision_780,routeFlow_0.79,routeFlow_3.10,collision
156.6,collision_783,routeFlow_0.85,routeFlow_0.83,collision
156.65,collision_786,routeFlow_3.9,routeFlow_0.81,collision
156.7,collision_789,routeFlow_1.109,routeFlow_1.106,collision
156.85,collision_799,routeFlow_0.83,routeFlow_0.85,collision
156.9,collision_802,routeFlow_0.81,routeFlow_3.9,collision
156.95,collision_807,routeFlow_1.106,routeFlow_1.109,collision
157.45,collision_819,routeFlow_1.105,routeFlow_1.108,collision
157.8,collision_826,routeFlow_1.108,routeFlow_1.105,collision
160.45,collision_832,routeFlow_1.103,routeFlow_1.101,collision
160.95,collision_842,routeFlow_1.101,routeFlow_1.103,collision
164.1,collision_852,routeFlow_3.9,routeFlow_0.84,collision
165.6,collision_882,routeFlow_0.84,routeFlow_3.9,collision
184.05,collision_990,routeFlow_1.114,routeFlow_1.113,collision
184.3,collision_995,routeFlow_1.113,routeFlow_1.114,collision
185.5,collision_999,routeFlow_0.102,routeFlow_0.101,collision
185.55,collision_1001,routeFlow_1.127,routeFlow_1.124,collision
185.7,collision_1006,routeFlow_0.101,routeFlow_0.102,collision
185.75,collision_1009,routeFlow_0.106,routeFlow_0.105,collision
185.75,collision_1010,routeFlow_1.124,routeFlow_1.127,collision
185.85,collision_1017,routeFlow_1.135,routeFlow_1.130,collision
185.95,collision_1021,routeFlow_0.105,routeFlow_0.106,collision
185.95,collision_1024,routeFlow_2.12,routeFlow_0.100,collision
186.05,collision_1029,routeFlow_1.130,routeFlow_1.135,collision
186.05,collision_1030,routeFlow_1.131,routeFlow_1.129,collision
186.15,collision_1036,routeFlow_0.100,routeFlow_2.12,collision
186.25,collision_1043,routeFlow_1.129,routeFlow_1.131,collision
188.75,collision_1052,routeFlow_0.102,routeFlow_0.99,collision
189.1,collision_1059,routeFlow_0.99,routeFlow_0.102,collision
190.1,collision_1067,routeFlow_1.135,routeFlow_1.123,collision
190.5,collision_1075,routeFlow_1.123,routeFlow_1.135,collision
190.55,collision_1077,routeFlow_1.133,routeFlow_1.130,collision
190.85,collision_1089,routeFlow_1.127,routeFlow_1.121,collision
190.9,collision_1091,routeFlow_1.127,routeFlow_1.121,junction
191.0,collision_1096,routeFlow_1.130,routeFlow_1.133,collision
191.4,collision_1111,routeFlow_1.121,routeFlow_1.127,collision
191.5,collision_1115,routeFlow_2.12,routeFlow_0.97,collision
192.2,collision_1136,routeFlow_0.97,routeFlow_2.12,collision
192.4,collision_1141,routeFlow_3.11,routeFlow_0.100,collision
192.95,collision_1163,routeFlow_1.131,routeFlow_1.128,collision
193.05,collision_1170,routeFlow_1.132,routeFlow_1.129,collision
193.4,collision_1195,routeFlow_0.100,routeFlow_3.11,collision
194.2,collision_1244,routeFlow_1.128,routeFlow_1.131,collision
194.85,collision_1281,routeFlow_1.129,routeFlow_1.132,collision
215.1,collision_1340,routeFlow_0.121,routeFlow_0.124,collision
215.3,collision_1344,routeFlow_0.124,routeFlow_0.121,collision
215.5,collision_1348,routeFlow_0.115,routeFlow_0.114,collision
215.65,collision_1352,routeFlow_1.159,routeFlow_1.155,collision
215.7,collision_1353,routeFlow_0.114,routeFlow_0.115,collision
215.85,collision_1360,routeFlow_1.155,routeFlow_1.159,collision
216.1,collision_1364,routeFlow_0.128,routeFlow_2.14,collision
216.25,collision_1368,routeFlow_1.153,routeFlow_1.151,collision
216.4,collision_1374,routeFlow_2.14,routeFlow_0.128,collision
216.45,collision_1375,routeFlow_1.151,routeFlow_1.153,collision
217.45,collision_1384,routeFlow_1.149,routeFlow_1.147,collision
217.7,collision_1389,routeFlow_1.147,routeFlow_1.149,collision
218.15,collision_1395,routeFlow_0.121,routeFlow_0.127,collision
218.5,collision_1402,routeFlow_0.127,routeFlow_0.121,collision
218.8,collision_1408,routeFlow_0.125,routeFlow_0.124,collision
219.1,collision_1414,routeFlow_0.124,routeFlow_0.125,collision
221.25,collision_1421,routeFlow_1.153,routeFlow_1.152,collision
222.0,collision_1436,routeFlow_1.152,routeFlow_1.153,collision
222.8,collision_1453,routeFlow_1.159,routeFlow_1.154,collision
222.85,collision_1454,routeFlow_1.157,routeFlow_1.151,collision
223.85,collision_1494,routeFlow_1.151,routeFlow_1.157,collision
224.4,collision_1517,routeFlow_1.154,routeFlow_1.159,collision
224.7,collision_1528,routeFlow_0.128,routeFlow_0.123,collision
