tick,time_s,decision,p_x,m_x,s_x,p_v,m_v,s_v,p_a,m_a,s_a,gap_ps,gap_pm,target_x_m_star,target_t_m_star,target_v_star
18,1.8,merge,39.74694021327086,36.77729455960324,31.700074231839984,14.687088358163999,13.266001942741331,11.688315888115625,-1.8737654135475843,-3.0504152964072597,-4.356436189199314,8.046865981430877,2.9696456536676195,90.0,9.3,7.0
19,1.9000000000000001,merge,41.20621052619705,38.088604901418634,32.84712737376231,14.497641846908127,12.959860756582634,11.252830803282189,-1.9143307901346258,-3.0710678015635335,-4.351411515388447,8.359083152434735,3.117605624778413,90.0,9.4,7.0
20,2.0,merge,42.64632731467534,39.36920355062388,33.950675120517985,14.303959620371973,12.651824832997029,10.81838522142993,-1.9583913792897754,-3.0883157928169465,-4.33575240887406,8.695652194157354,3.27712376405146,90.0,9.5,7.0
21,2.1,merge,44.066851109673564,40.61891829621058,35.01087339771979,14.10573925233065,12.342241738684447,10.386006776895105,-2.005015723532234,-3.1020205382670403,-4.310171192267774,9.055977711953773,3.447932813462984,90.0,9.6,7.0
22,2.2,merge,45.46731671490381,41.837612317704604,36.02797736207666,13.902767221566895,12.031471129061984,9.956652751217101,-2.0533565064288495,-3.1120786210150095,-4.275362551353824,9.439339352827147,3.6297043971992053,90.0,9.7,7.0
23,2.3000000000000003,merge,46.847241684505015,43.02518522234319,37.00233445588379,13.694910733703164,11.719881362635105,9.531211884001761,-2.102645860830508,-3.1184190433107246,-4.232002607004188,9.844907228621224,3.822056462161825,90.0,9.3,7.0
24,2.4000000000000004,merge,48.20620619473074,44.18161521484146,37.93438612307247,13.484261799791993,11.409084861953652,9.110764559583735,-2.1097080452120456,-3.096440715052408,-4.175423101950179,10.271820071658269,4.0245909798892825,90.0,9.4,7.0
25,2.5,merge,49.544058521713325,45.307075145118425,38.82468791695116,13.272550597916478,11.100477717541105,8.696331804463174,-2.1237589083100388,-3.0746065399586056,-4.111800176964392,10.719370604762162,4.2369833765949,90.0,9.5,7.0
26,2.6,merge,50.86065970155532,46.401783879160114,39.67387549244265,13.059144082181383,10.79406490270435,8.288587481927571,-2.1434966445289927,-3.0525345335123415,-4.04173963220589,11.186784209112673,4.458875822395207,90.0,9.6,7.0
27,2.7,merge,52.15581377981789,47.46596260267334,40.48264889067837,12.843533561862142,10.489886976276324,7.8881457427754915,-2.167734997897401,-3.0298944490515347,-3.9658298734237194,11.673164889139521,4.689851177144547,90.0,9.7,7.0
28,2.8000000000000003,merge,53.4292796803858,48.49983812753708,41.25176665638325,12.625323478337766,10.188015105737499,7.495562814155102,-2.1953966635422164,-3.0064038689019275,-3.8846409420630152,12.177513024002543,4.929441552848715,90.0,9.8,6.0
29,2.9000000000000004,merge,54.68081878894173,49.50372532411961,41.98217680977187,12.405314065323102,9.890914443261185,7.115406498503091,-2.20407656248356,-2.935268885541393,-3.7186677653881306,12.698641979169857,5.177093464822121,90.0,9.4,7.0
30,3.0,merge,55.910356889376494,50.47822723158146,42.67527773455333,12.185732008802509,9.6000134113159,6.748178333486511,-2.187034692606285,-2.8818907688422866,-3.6246940625965616,13.235079154823161,5.432129657795038,90.0,9.5,7.0
