timestamp,vehicle_id,x,y,speed,angle,lane_id,edge_id,vType
0.05,routeFlow_2.4,-67.30809603900562,-14.664876705443515,19.226041807512335,79.02448751804778,-2_3,-2,vehicle.audi.a2
0.05,bg_vehicle_0_1,147.74763273474144,14.139546099437425,41.007283279033985,77.65422454390504,-2_0,-2,vehicle.audi.a2
0.05,vehicle_4,188.17334470737754,21.775750847333633,28.000419999999952,79.3087732098392,-2_0,-2,vehicle.mitsubishi.fusorosa
0.05,lead_truck_01,198.33408624358995,27.414354418558563,28.0,79.29116077380004,-2_1,-2,vehicle.mitsubishi.fusorosa
0.05,bg_vehicle_1_1,70.71990356743325,3.2699116939671455,30.208569331713058,79.28782922469503,-2_1,-2,vehicle.audi.a2
0.05,bg_vehicle_3_3,146.14143879157476,25.54563523636684,30.16545972057072,79.28782922471605,-2_3,-2,vehicle.carlamotors.carlacola
0.05,routeFlow_2.5,-91.21673123538793,-19.17249200361346,18.76022164536359,78.98860123642459,-2_3,-2,vehicle.audi.a2
0.05,routeFlow_2.3,-44.404016763766435,-10.3466553898561,17.25229626220697,79.05886598576689,-2_3,-2,vehicle.audi.a2
0.05,bg_vehicle_3_1,184.19652439704944,32.75897133634207,28.57943847705623,79.30877320983966,-2_3,-2,vehicle.audi.a2
0.05,routeFlow_4.1,-10.913119927935412,-7.989814389474226,17.827985314317033,79.07696677528516,-2_2,-2,vehicle.carlamotors.carlacola
0.05,bg_vehicle_3_2,178.13208344258013,31.61404504344162,29.179922888289838,79.30877320983971,-2_3,-2,vehicle.jeep.wrangler_rubicon
0.05,routeFlow_0.0,-85.83516702270711,-26.24169237084846,-10.349098591628678,80.03240958927606,-2_1,-2,vehicle.audi.a2
0.05,bg_vehicle_0_3,117.76566141756928,8.459517148961893,30.537352627179562,79.1007417042331,-2_0,-2,vehicle.jeep.wrangler_rubicon
0.05,routeFlow_1.0,1.3172861405412704,-5.7049627385316555,2.6344360293355713,79.31758019472305,-2_2,-2,vehicle.jeep.wrangler_rubicon
0.05,vehicle_6,217.29433913290987,35.04168834951148,28.0,79.30877320983966,-2_2,-2,vehicle.jeep.wrangler_rubicon
0.05,routeFlow_2.2,-21.433925393118642,-6.0159884817598375,16.62169004129862,79.09334353594227,-2_3,-2,vehicle.audi.a2
0.05,vehicle_7,219.96382980626768,39.51076270857416,28.369691932048045,79.28782922470225,-2_3,-2,vehicle.carlamotors.carlacola
0.05,vehicle_5,106.12510019892581,9.990379062613357,30.956613257396256,79.08180216147065,-2_1,-2,vehicle.audi.a2
0.05,bg_vehicle_2_1,295.9046940338215,49.91855040002866,28.0,79.28782922470351,-2_2,-2,vehicle.mitsubishi.fusorosa
0.05,bg_vehicle_2_2,120.69597126587243,16.763970360486788,29.951997206288326,79.2878292246916,-2_2,-2,vehicle.audi.a2
0.05,bg_vehicle_1_4,-67.99589795182186,-23.146064665592256,-18.21717803434536,79.25928198148706,-2_1,-2,vehicle.jeep.wrangler_rubicon
0.05,routeFlow_4.0,30.872026491769716,-0.11435858544134447,4.16853685920605,79.14899086283354,-2_2,-2,vehicle.carlamotors.carlacola
0.05,vehicle_2,246.77378918455057,40.61481400051672,28.0,79.29116077380017,-2_2,-2,vehicle.audi.a2
0.05,routeFlow_1.3,-83.56250046924706,-21.71619278192554,-14.752624867624135,79.31758019472326,-2_2,-2,vehicle.jeep.wrangler_rubicon
0.05,routeFlow_4.2,-52.58713385805888,-15.844324496648337,15.749014033879563,79.00513424520368,-2_2,-2,vehicle.carlamotors.carlacola
0.05,routeFlow_2.1,1.6096505371058782,-1.6714671598829192,17.486264379708715,79.12793138453507,-2_3,-2,vehicle.audi.a2
0.05,bg_vehicle_2_3,85.74414481872961,10.16221649867104,30.48270465791937,79.29116077380014,-2_2,-2,vehicle.carlamotors.carlacola
0.05,bg_vehicle_2_4,75.1580695166241,8.160265295407033,15.018992811022311,79.56652236006106,-2_2,-2,vehicle.jeep.wrangler_rubicon
0.05,subject_car_01,149.20532200389528,18.146527372073216,28.0,79.30544688290887,-2_1,-2,vehicle.jeep.wrangler_rubicon
0.05,vehicle_0,248.09573200298226,33.09770216871703,28.0,79.28782922470363,-2_0,-2,vehicle.audi.a2
0.05,routeFlow_1.2,-41.66242922533095,-13.812406659028007,-8.045003792503941,79.31758019471944,-2_2,-2,vehicle.jeep.wrangler_rubicon
0.05,vehicle_1,140.00209279159503,16.404688224654972,28.587539107923856,79.3054468829088,-2_1,-2,vehicle.audi.a2
0.05,routeFlow_1.1,-3.8938886462355953,-6.6879684886640085,4.5819085867332845,79.31758019472288,-2_2,-2,vehicle.jeep.wrangler_rubicon
0.05,routeFlow_2.0,50.65231949499935,7.574793993961716,7.3509263137701595,79.20154324213387,-2_3,-2,vehicle.audi.a2
0.05,bg_vehicle_1_2,35.832693053647574,-3.2680678405048624,32.08821067228466,79.30544688290006,-2_1,-2,vehicle.carlamotors.carlacola
0.05,bg_vehicle_1_3,-41.630116600792746,-18.192531686010547,18.38175961827048,79.2526000592283,-2_1,-2,vehicle.mitsubishi.fusorosa
0.05,routeFlow_5.0,27.896927884680878,3.2846055120169524,12.349999999999898,79.09417710934741,-2_3,-2,vehicle.mitsubishi.fusorosa
0.05,lead_truck_02,128.84752521660224,18.35157431653248,28.0,79.3181807255303,-2_2,-2,vehicle.mitsubishi.fusorosa
0.05,vehicle_3,246.08808682572246,44.452739991872335,28.0,79.28782922470364,-2_3,-2,vehicle.audi.a2
